idx,dropout,lr,quantum_data,test_auc,test_acc,val_auc,val_acc,#params,RD
23,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.56734062655646,74.4139650872818,92.43679521529525,74.47657028913261,572235,1
23,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.62174265415331,69.67581047381546,90.33931823054135,71.88434695912264,374907,1
23,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.14386080700172,73.56608478802993,92.17786449120699,71.9840478564307,104667,1
23,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.63674397529094,73.91521197007481,92.50818635109208,73.18045862412762,31755,1
24,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.35238816959863,72.56857855361596,91.53177386926981,74.37686939182453,1300959,2
24,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.65876657777163,74.51371571072319,92.7922635475121,75.2741774675972,572235,1
24,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,89.4212118634682,72.61845386533666,90.74256307866787,70.68793619142572,374907,1
24,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.64840697261693,74.76309226932668,92.62892006603653,74.37686939182453,104667,1
24,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.56024597326429,73.96508728179552,92.6634748718043,74.17746759720838,31755,1
25,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.7553653929937,72.51870324189527,91.44081613514633,74.0777666999003,1300959,2
25,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.72649728069786,74.214463840399,92.40961241352446,75.57328015952145,572235,1
25,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.36807133515704,71.67082294264338,90.49726146096805,67.69690927218345,374907,1
25,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.12305674197614,74.61346633416458,92.18522319802244,71.78464606181456,104667,1
